"âge m.","das alter"
"aide f.","die hilfe"
"aider","helfen"
"aile, ailes f.","der flügel"
"aller","gehen, fahren"
"alors","da, damals, dann"
"amuser","amüsieren, belustigen"
"an, ans","das jahr"
"animal, animaux","das tier"
"appeler","heißen, rufen"
"apprendre","lernen, erlernen"
"après","danach, nach, später"
"Après-midi m.","der nachmittag"
"arbre, arbres","der baum"
"Arc-en-ciel","der regenbogen"
"arriver","kommen, ankommen"
"a tes souhaits!","gesundheit!"
"Au-dessus","über, darüber, oben"
"aujourd'hui","heute"
"au revoir","auf wiedersehen"
"au secours!","hilfe!"
"autre","anderes, sonstig"
"autour","ringsumher"
"avant","vor"
"avec","mit"
"avoir","haben"
"avoir besoin","brauchen, benötigen, müssen"
"avoir raison","recht haben"
"ainé, ainés m.","der älteste"
"aimer","lieben, mögen"
"air m.","die luft, das klima"
"algue, algues f.","das teichgras, die algen"
"aller au lit","schlafen gehen"
"ami m.","der freund"
"année f.","das jahr"
"argenté","silber, silberfarben"
"arrière-grands-parents m.","die urgroßeltern"
"artisan, artisans m.","der handwerker"
"assez","recht, ziemlich, genug"
"attendre","warten"
"aussi","auch"
"automne m.","der herbst"
"balai m.","der besen"
"battre","schlagen, besiegen"
"beau, belles","schön"
"beaucoup","sehr, viel"
"bec m.","der schnabel"
"bête","blöd, dumm"
"bêtise, bêtises f.","die dummheit, der unsinn"
"biche, biches f.","das reh, die rehe"
"bien","gut"
"blanc, blanche","weiß, sauber, rein"
"bleu","blau"
"bœuf m.","der ochse"
"bon, bonne","gut, angenehm, freundlich"
"bonhomme de neige","der schneemann"
"bonjour","Guten tag"
"bonsoir","guten abend"
"botte, bottes f.","der stiefel, die stiefel"
"bouche f.","der mund"
"bouger","bewegen"
"brandir","drohend schwingen, schwenken"
"bras m.","der arm"
"briller","funkeln, scheinen"
"benjamine f.","die jüngste"
"bestiole, bestioles f.","das tierchen"
"bien sûr","ganz gewiß, freilich, jawohl"
"bientôt","bald"
"bière f.","das bier"
"boulanger m.","der bäcker"
"bouteille, bouteilles f.","die flasche"
"brochet, brochets m.","der hecht"
"buisson, buissons m.","der busch"
"ça","das"
"Ça suffit!","genug!"
"caisse f.","die kiste, der kasten, die kasse"
"carnaval m.","der fasching, der karneval"
"casser","zerbrechen"
"casserole f.","der topf, der kochtopf"
"cela","das"
"cent","einhundert"
"c'est","das ist"
"ce sont","das sind"
"cerf, cerfs m.","der hirsch, die hirsche"
"cet, cette","dieser, so"
"chance f.","das glück"
"changement m.","die änderung, die abwechslung"
"changer","ändern, wechseln"
"chanson, chansons f.","das lied, die lieder"
"chanter","singen"
"chapeau m.","der hut"
"chaque","jede, jeder, jedes"
"chaud","warm, hitzig"
"cheminée f.","der schornstein"
"cher, chére","geehrte(r), liebe(r)"
"cheval, cheveaux m.","das pferd, die pferde"
"cheveu, cheveux m.","das haar, die haare"
"ciel m.","der himmel"
"claquer des doigts","schnipsen"
"cochon m.","das schwein"
"cochon d'Inde","das meerschwein"
"commencer","anfangen, beginnen"
"comme, comment","wie"
"comprendre","verstehen, begreifen"
"connaître","verstehen, wissen, kennen"
"contraire","das gegenteil"
"contraires m.","die gegenteile"
"conseil m.","der rat"
"corbeau m.","der rabe"
"corne, cornes f.","das horn, die hörner"
"corps m.","der körper"
"cou m.","der hals, das genick"
"court","kurz"
"courir","laufen, rennen, joggen"
"carpe f.","der karpfen"
"certain, certaine","gewiß, sicher"
"charpentier m.","der zimmermann, der dachdecker"
"chauffeur m.","der fuhrmann, der chauffeur"
"chaussure f.","der schuh"
"chercher","holen"
"clair, claire","hell, eindeutig, klar"
"construire","bauen, errichten"
"coucher","untergehen"
"cours m.","der kurs, der unterricht"
"cousin m.","der cousin"
"cousine f.","die cousine"
"crôasser","quaken"
"croire","halten"
"cuit, cuites","gebraten, gekocht"
"d'abord","zuerst"
"d'accord","einig, einverstanden, in ordnung"
"dans","auf, in"
"de","aus, nach, von"
"début m.","der Anfang, der Beginn"
"dehors","draußen"
"dent, dents f.","der Zahn, die Zähne"
"dentrifrice m.","die Zahnpasta"
"depuis","seit, seitdem"
"devoir","müssen, sollen"
"difficile","schwer, schwierig"
"dimanche","Sonntag"
"Dix-neuf","neunzehn"
"Dix-sept","siebzehn"
"doigt, doigts m.","der finger, die finger"
"dos m.","der rücken"
"droite","rechts"
"drôle","komisch, lustig"
"du tout","gar nicht"
"dangereux","gefährlich, gefahrvoll"
"demander","fragen"
"derrière","hinten, dahinter"
"différent","anders, verschieden"
"dommage m.","der schaden"
"donc","also, daher, doch"
"dormir","schlafen"
"doux, douce","mild, lieb, weich"
"dur","hart, fest"
"écharpe en laine","der wollschal"
"éclair, éclairs m.","der blitz, die blitze"
"éclatant","leuchtend"
"écouter","hören, anhören"
"écureuil,","das einhörnchen"
"écureuils m.","die"
"éléphant m.","der elefant"
"elle","sie"
"emmener","mitnehmen"
"en","in, aus, nach, als"
"enfant, enfants m.","das kind, die kinder"
"ensoleillé, énsoleillée","sonnig"
"entendre","anhören, hören, mitbekommen"
"entrer","eintreten, hereinkommen"
"espérons","hoffentlich"
"et","und"
"être","sein"
"eau f.","das wasser, das gewässer"
"écolier, écoliers m.","der schüler"
"église f.","die kirche"
"encore","noch"
"encore et encore","immer weiter und weiter"
"escargot, escargots m.","die schnecke"
"été m.","der sommer"
"étang m.","der weiher, der teich"
"étoile, étoiles f.","der stern"
"étoile filante f.","die sternschnuppe"
"étoile polaire f.","der polarstern"
"facile","einfach, leicht"
"faire","machen, tun, backen, kochen"
"fatigué","müde, schlapp"
"faute f.","der fehler"
"femme, femmes f.","die frau, die ehefrau"
"fièr, fière","stolz, anständig, hochmütig"
"fille f.","das mädchen, die tochter"
"fin f.","das ende"
"fleur, fleurs f.","die blume"
"fois f.","das mal"
"forêt f.","der wald"
"formule, formules f.","die formel"
"fouet m.","die peitsche"
"français, française","französisch"
"froid, froide","kalt"
"faché, fachés","empört, böse, sauer"
"faim f.","der hunger"
"famille f.","die familie"
"farine f.","das mehl"
"fauteuil roulant","der rollstuhl"
"fermier m.","der bauer"
"feu m.","das feuer"
"feuille, feuilles f.","das blatt"
"fils m.","der junge, der sohn"
"fond m.","der boden"
"formidable","großartig, toll"
"frais, fraiche","frisch, kühl"
"frère, frères m.","der bruder"
"gelé, gelée","gefroren, eingefroren"
"grain m.","das korn"
"grands-parents m.","die großeltern"
"grenouille f.","der frosch"
"gants m.","die handschuhe"
"garçon, garçons m.","der junge"
"gâteaux m.","die pfannkuchen"
"gauche","links"
"gens m./f.","die leute"
"gentil, gentille","brav, freundlich, artig"
"glace f.","das eis"
"glaçon m.","der eiswürfel"
"grêle f.","der hagel"
"grand, grande","groß, weit"
"grand-mère f.","die großmutter"
"grondement, grondements m.","das brausen, das grollen"
"habiter","wohnen"
"hamster m.","der hamster"
"hanche, hanches f.","die hüfte"
"heure f.","die stunde, die uhr"
"heureux, heureuse","glücklich, froh"
"hiver m.","der winter"
"horrible","schrecklich, entsetzlich"
"harpe f.","die harfe"
"herbe f.","das gras"
"heureusement","glücklicherweise, zum glück"
"humains m.","die menschen"
"il était une fois","es war einmal"
"ils, elles","sie (plural)"
"international","international"
"il y a","es gibt"
"imaginer","vorstellen"
"important","wichtig, bedeutend"
"incroyable","unglaublich"
"jambe, jambes f.","das bein"
"jeudi","donnerstag"
"jeune","jung, klein"
"jouer","spielen"
"jour m.","der tag"
"journée f.","der tag, der tagesablauf"
"jupe, jupes f.","der rock"
"jaune","gelb"
"je suis","ich bin"
"jeu m.","das spiel"
"juste","genau, richtig, korrekt"
"laid, laide","hässlich, unschön"
"laisser","lassen"
"lapin, lapins m.","das kaninchen"
"leçon f.","die lektion"
"léger","leicht, leise"
"lentement","langsam"
"lever","aufgehen, anbrechen"
"leur","ihnen, ihr"
"liévre m.","der hase"
